Sauron, Frodo Baggins, Gandalf
Emperor Sheev Palpatine, Darth Vader, Obi-Wan Kenobi
Emperor Sheev Palpatine, Darth Vader, Luke Skywalker
Clark Kent, Perry White, Jimmy Olsen
Batman (Bruce Wayne), Alfred Pennyworth, Thomas Wayne
Joe Biden, Kamala Harris, John Adams
Mike Pence, Mitch McConnell, Chuck Schumer
Doctor Stephen Strange, Wong, Agamotto
Chalmun, Wuher, Ackmena
Admiral Gial Ackbar, Princess Leia Organa, Captain Ray Antilles
Robin (Dick Grayson), Raven, Beast Boy (Garfield Logan)
an alien, Joe Biden, Bob Lazar
Elizabeth II, George III, Charles Long (1st Baron Farnborough)
Shah Jahan, Mumtaz Mahal, Ustad Ahmad Lahori
Ronald McDonald, Richard McDonald, Maurice McDonald
3 random impartial judges
