Charles Babbage;Lin-Manuel Miranda|Charles Babbage|9-3
Jimmy Fallon;Hugh Jackman|Hugh Jackman|10-2
Donald Trump;Carl Gauss|Carl Gauss|11-1
Rosa Parks;Max Planck|Max Planck|6-2
Napoleon Bonaparte;Babe Ruth|Babe Ruth|8-0
Fluffy (Gabriel Iglesias);Saladin|Fluffy (Gabriel Iglesias)|7-0
Karl Marx;Paul McCartney|Karl 	 Marx|4-3
Vladimir Putin;Prince Charles|Prince Charles|4-3
Ewan McGreggor;Alexander the Great|Ewan McGreggor|5-2
Georg Cantor;Martin Luther|Georg Cantor|7-0
Galileo Galilei;Marie Antoinette|Galileo Galilei|7-0
PewDiePie;Oda Nobunaga|PewDiePie|7-0
Edwin Hubble;Jackie Chan|Jackie Chan|5-3
Buster Keaton;Harry Styles|Harry Styles|6-2
Theodore Roosevelt;Kublai Khan|Theodore Roosevelt|6-2
Peter Higgs;Keanu Reeves|Keanu Reeves|11-0
Andrew Jackson;Yang Hui|Andrew Jackson|9-2
Alfred Hitchcock;Florence Nightingale|Tie|6-6
Joseph-Louis Lagrange;Frank Sinatra|Frank Sinatra|7-1
Henry Longstreet;Franklin D. Roosevelt|Franklin D. Roosevelt|9-0
Al Capone;Henrietta Lacks|Tie|4-4
Nelson Mandela;Plato|Nelson Mandela|6-1
Markus Persson;HG Wells|HG Wells|7-0
Micheal Bay;Archduke Franz Ferdinand|Archduke Franz Ferdinand|4-2
Sir Robert Wadlow;George Lucas|Sir Robert Wadlow|6-2
James Garfield;Dwayne Johnson|Dwayne Johnson|8-0
Richard the Lionheart;Alexander Graham Bell|Richard the Lionheart|7-1
Jens Bergensten;Rene Descartes|Rene Descartes|6-2
Enrico Fermi;Leon Trotsky|Leon Trotsky|6-2
Chris Pratt;Attila the Hun|Attila the Hun|6-2
Jackson Pollock;Grant Kirkhope|Grant Kirkhope|10-1
Trajan;Elvis Presley|Trajan|9-2
Al Gore;Adolf Hitler|Adolf Hitler|9-2
Qin Shi Huang;Michelangelo|Michealangelo|7-3
Dr. Seuss;Masahiro Sakurai|Masahiro Sakurai|10-0
Sun Tzu;Stephen Curry|Sun Tzu|8-3
Eric Prydz;Erwin Schrodinger|Erwin Schrodinger|8-2
Hammurabi;Mao Zedong|Hammurabi|9-1
Christina Aguilera;David Hilbert|Christina Aguilera|6-4
Benito Mussolini;Charles Cornwallis|Benito Mussolini|11-1
Paul Dirac;Leonardo da Vinci|Paul Dirac|6-5
William Howard Taft;Jack White|Jack White|11-1
Leonhard Euler;Valentin Glushko|Valentin Glushko|6-4
Nicki Minaj;Martin Luther King Jr.|Martin Luther King Jr.|9-1
Michael Jackson;Bill Nye|Bill Nye|8-3
Vlad the Impaler;Brutus|Vlad the Impaler|7-4
Jeb Bush;Ludwig van Beethoven|Jeb Bush|9-1
Jack Kirby;Pablo Picasso|Pablo Picasso|7-4
Yu the Great;Hillary Clinton|Hillary Clinton|9-2
Vincent Van Gogh;Marco Polo|Vincent Van Gogh|7-4
Diego Rivera;Randall Munroe|Diego Rivera|7-4
Tom Hanks;Fred Rogers|Tom Hanks|12-0
Ninja (streamer);Marcus Linicus Crassus|Ninja (streamer)|10-2
John Lennon;Vladmir Lenin|Vladmir Lenin|9-3
Woodrow Wilson;Phil Swift|Woodrow Wilson|8-3
Hanibal (general);Neil deGrasse Tyson|Hanibal (general)|12-0
Neil Armstrong;Oprah Winfrey|Neil Armstrong|9-3
Socrates;Quentin Taratino|Socrates|10-1
Rick Astley;Charles X|Rick Astley|8-3
Jim Henson;Stephanie Kwolek|Jim Henson|8-3
Stephen Hawking;Richard Feynman|Richard Feynman|7-5
John Quincy Adams;Edward Teller|Edward Teller|9-3
Lyn Evans;Leonardo DiCaprio|Leonardo DiCaprio|10-2
Barack Obama;Genghis Khan|Genghis Khan|13-1
Adam Sandler;Horatio Gates|Horatio Gates|12-2
Aristotle;Winston Duke|Aristotle|13-1
John D. Rockefeller;Catherine the Great|Catherine the Great|11-1
Mahatma Gandhi;John Rockefeller|John Rockefeller|9-3
Prince (musician);George Swinnerton Parker|George Swinnerton Parker|9-1
Daniel Bernoulli;Clovis I|Clovis I|7-3
Charlemagne;Freddie Mercury|Freddie Mercury|6-4
Joseph Fourier;Josh Brolin|Josh Brolin|7-2
Jack Nicholson;Ptolemy|Jack Nicholson|7-3
Pat Sajak;Henri Poincare|Henri Poincare|9-1
John Calvin;Malcolm X|Malcolm X|7-3
Tom Cruise;Douglas MacArthur|Tom Cruise|10-0
Usain Bolt;Carl Gustav Jacob Jacobi|Usain Bolt|9-1
Matthew McConaughey;Edward Norton|Tie|5-5
John Napier;Jesse Owens|John Napier|8-2
Jimmy Carter;Mark Antony|Jimmy Carter|8-2
Hayden Christensen;Edward the Black Prince|Hayden Christensen|7-3
Nicolas Cage;Zach Callison|Nicolas Cage|9-1
Rebecca Sugar;Dwight Eisenhower|Dwight Eisenhower|7-3
Gabe Newell;Sir Francis Drake|Gabe Newell|8-2
George R. R. Martin;James Earl Jones|George R. R. Martin|10-1
Augustus;Ferdinand Magellan|Ferdinand Magellan|8-2
Louis XIII;Johannes Kepler|Johannes Kepler|10-0
Thomas Edison;John F. Kennedy|John F. Kennedy|8-1
George Washington;Benjamin Franklin|Benjamin Franklin|6-3
Henry Ford;Malala Yousafzai|Henry Ford|6-3
George S. Patton;Yuri Gagarin|George S. Patton|9-0
Marie Curie;Emperor Norton|Emperor Norton|7-2
Mark Twain;Josef Mengele|Mark Twain|7-2
Augustus Caeser;Bill Watterson|Augustus Caeser|5-4
Augustin-Louis Cauchy;Troy Weaver|Augustin-Louis Cauchy|6-3
Grant Gustin;Brad Pitt|Brad Pitt|7-2
Augustus;Napoleon III|Napoleon III|8-0
Pierre de Fermat;Ryan Reynolds|Pierre de Fermat|5-3
Satyendra Nath Bose;John Cena|John Cena|8-0
Jerry Seinfield;Amelia Earhart|Jerry Seinfield|6-4
Harrison Ford;Kaiser Wilhelm|Harrison Ford|8-1
Jim Webb;Marie Curie|Jim Webb|5-3
Alan Rickman;Alexander Hamilton|Alexander Hamilton|5-4
Daniel Radcliffe;Morgan Freeman|Morgan Freeman|10-0
Avicii;King Tutankhamun|Tie|5-5
Harrison Ford;Jacob Sartorius|Harrison Ford|5-4
Joan of Arc;Michael Malloy|Joan of Arc|5-4
Marilyn Monroe;Stanislaw Ulam|Marilyn Monroe|7-2
Mark Hamill;Jeff (The CA Security Guard)|Jeff (The CA Security Guard)|11-1
Jerry Seinfeld;Paul Revere|Paul Revere|10-2
Thales of Miletus;Bob Ross|Bob Ross|9-2
Joseph Stalin;Vasco de Gama|Joseph Stalin|10-0
Alex Trebeck;Alec Guinness|Alec Guinness|8-2
Raphael;Elton John|Elton John|9-0
King Louis XVI of France;Louis XIII of France|Louis XIII of France|6-2
