Franklin D. Roosevelt|Elvis Presley|8-4|Franklin D. Roosevelt
Antonio Stradivari|Pythagoras|1-12|Pythagoras
Alexander Graham Bell|Jack Black|7-6|Alexander Graham Bell
Frederick Douglass|Attila the Hun|4-9|Attila the Hun
Prince Charles|Markiplier|2-11|Markiplier
Marie Antoinette|George Swinnerton Parker|3-8|George Swinnerton Parker
Vladmir Putin|Florence Nightingale|8-3|Vladmir Putin
King Tutankhamun|Stan Lee|2-9|Stan Lee
Mark Ruffalo|Michael Malloy|9-3|Mark Ruffalo
Daniel Radcliffe|Bernhard Riemann|9-3|Daniel Radcliffe
Herbert Hoover|Jeff Kaplan|5-5|Tie
Ryan Reynolds|Alan Rickman|3-7|Alan Rickman
Simo Hayha|Chuck Norris|2-7|Chuck Norris
Brad Pitt|Lance Armstrong|4-5|Lance Armstrong
Thomas Edison|Paul McCartney|3-6|Paul McCartney
Michael Bay|Joseph-Louis Lagrange|9-1|Michael Bay
Will Ferrell|Srinivasa Ramanujan|4-6|Srinivasa Ramanujan
James Earl Jones|Henri Poincare|4-6|Henri Poincare
Alexander the Great|Pierre de Fermat|2-8|Pierre de Fermat
Hideki Tojo|Trajan|7-3|Hideki Tojo
John Tyler|Mother Teresa|6-5|John Tyler
George H. W. Bush|Jim Webb|6-5|George H. W. Bush
George Lucas|Louis XIII|9-2|George Lucas
Jackie Robinson|Mark Antony|9-2|Jackie Robinson
Archimedes|Jesse Owens|3-8|Jesse Owens
Gordon Ramsay|John Adams|10-3|Gordon Ramsay
Elton John|Carl Gustav Jacob Jacobi|6-7|Carl Gustav Jacob Jacobi
Marilyn Monroe|Homer (The Odyssey)|6-7|Homer (The Odyssey)
David Hilbert|Tobey Maguire|4-9|Tobey Maguire
Franklin Pierce|Matthew McConaughey|2-11|Matthew McConaughey
Aristotle|Paul Revere|4-7|Paul Revere
Charles de Gaulle|George Washington|4-7|George Washington
Liu Hui|Eddie Hall|3-8|Eddie Hall
Matt Parker|Satyendra Nath Bose|3-8|Satyendra Nath Bose
Al Capone|Napoleon Bonaparte|2-9|Napoleon Bonaparte
Adam Sandler|Steve Jobs|3-9|Steve Jobs
Grant Gustin|Lin-Manuel Miranda|4-8|Lin-Manuel Miranda
Jim Henson|Jimmy Fallon|2-10|Jimmy Fallon
Carl Sagan|Ludwig van Beethoven|6-7|Ludwig van Beethoven
Neil deGrasse Tyson|Marcus Licinius Crassus|6-5|Neil deGrasse Tyson
Dr. Seuss|Ferdinand Magellan|10-3|Dr. Seuss
Sun Tzu|Charles Cornwallis|9-3|Sun Tzu
Jon Bon Jovi|Erwin Schrodinger|1-9|Erwin Schrodinger
Leonardo da Vinci|Bill Clinton|8-2|Leonardo da Vinci
Stephen Hawking|Benito Mussolini|5-6|Benito Mussolini
Meg White|Mao Zedong|3-8|Mao Zedong
Leonhard Euler|John Cena|4-6|John Cena
George S. Patton|Brutus|7-3|George S. Patton
Gaston Julia|Bill Watterson|1-7|Bill Watterson
August Ferdinand Mobius|Donald Trump|9-2|August Ferdinand Mobius
J. Robert Oppenheimer|Freddie Mercury|10-3|J. Robert Oppenheimer
Joe Biden|William McKinley|10-3|Joe Biden
Keanu Reeves|Hugh Jackman|6-7|Keanu Reeves
Thales of Miletus|Rebecca Sugar|9-4|Thales of Miletus
Dwayne Johnson|Stephen King|11-2|Dwayne Johnson
Charlie Chaplin|Ramsesses II|3-8|Ramsesses II
Alan Turing|Frank Sinatra|3-8|Frank Sinatra
Raphael|Nicolaus Copernicus|6-5|Raphael
Peter Higgs|Stephanie Kwolek|8-2|Peter Higgs
Richard Nixon|Theodore Roosevelt|4-6|Theodore Roosevelt
Ghengis Khan|Bill Gates|1-10|Bill Gates
Ewan McGregor|Buster Keaton|5-6|Buster Keaton
William Henry Harrison|Jimmy Carter|9-2|William Henry Harrison
King Louis XVI of France|Jackson Pollock|8-3|King Louis XVI of France
Henry Ford|Hillary Clinton|10-1|Henry Ford
Arnold Schwarzenegger|Charles X of Sweden|10-2|Arnold Schwarzenegger
Grigori Rasputin|Emperor Norton|10-2|Grigori Rasputin
James Garfield|Yang Hui|4-8|James Garfield
Galileo Galilei|Alex Trebeck|2-10|Alex Trebeck
Kaiser Wilhelm|Bernie Sanders|5-6|Bernie Sanders
Orville Wright|Usain Bolt|10-2|Orville Wright
Evariste Galois|Yuri Kondratyuk|5-7|Yuri Kondratyuk
Kublai Khan|Sir Walter Raleigh|10-2|Kublai Khan
Manfred von Richthofen|Richard the Lionheart|5-6|Richard the Lionheart
John Jay|Masahiro Sakurai|5-6|Masahiro Sakurai
Georg Cantor|Joseph Fourier|3-8|Joseph Fourier
William Howard Taft|Leon Trotsky|2-9|Leon Trotsky
Jack Nicholson|Emily Dickinson|8-2|Jack Nicholson
Michael Jordon|Chris Pratt|8-2|Michael Jordon
Hammurabi|Jerry Seinfeld|6-4|Hammurabi
Saladin|Shalom H. Schwartz|5-6|Shalom H. Schwartz
H. P. Lovecraft|Montezuma|5-5|Tie!
Jackie Chan|Malala Yousafzai|9-1|Jackie Chan
Sigmund Freud|Edgar Allen Poe|3-7|Edgar Allen Poe
Millard Fillmore|Edward Teller|5-5|Tie!
