Franklin D. Roosevelt|Elvis Presley|8-4|Franklin D. Roosevelt
Antonio Stradivari|Pythagoras|1-12|Pythagoras
Alexander Graham Bell|Jack Black|7-6|Alexander Graham Bell
Frederick Douglass|Attila the Hun|4-9|Attila the Hun
Prince Charles|Markiplier|2-11|Markiplier
Marie Antoinette|George Swinnerton Parker|3-8|George Swinnerton Parker
Vladimir Putin|Florence Nightingale|8-3|Vladimir Putin
King Tutankhamun|Stan Lee|2-9|Stan Lee
Mark Ruffalo|Michael Malloy|9-3|Mark Ruffalo
Daniel Radcliffe|Bernhard Riemann|9-3|Daniel Radcliffe
Herbert Hoover|Jeff Kaplan|5-5|Tie!
Ryan Reynolds|Alan Rickman|3-7|Alan Rickman
Simo Hayha|Chuck Norris|2-7|Chuck Norris
Brad Pitt|Lance Armstrong|4-5|Lance Armstrong
Thomas Edison|Paul McCartney|3-6|Paul McCartney
Michael Bay|Joseph-Louis Lagrange|9-1|Michael Bay
Will Ferrell|Srinivasa Ramanujan|4-6|Srinivasa Ramanujan
James Earl Jones|Henri Poincare|4-6|Henri Poincare
Alexander the Great|Pierre de Fermat|2-8|Pierre de Fermat
Hideki Tojo|Trajan|7-3|Hideki Tojo
John Tyler|Mother Teresa|6-5|John Tyler
George H. W. Bush|Jim Webb|6-5|George H. W. Bush
George Lucas|Louis XIII of France|9-2|George Lucas
Jackie Robinson|Mark Antony|9-2|Jackie Robinson
Archimedes|Jesse Owens|3-8|Jesse Owens
Gordon Ramsay|John Adams|10-3|Gordon Ramsay
Elton John|Carl Gustav Jacob Jacobi|6-7|Carl Gustav Jacob Jacobi
Marilyn Monroe|Homer (The Odyssey)|6-7|Homer (The Odyssey)
David Hilbert|Tobey Maguire|4-9|Tobey Maguire
Franklin Pierce|Matthew McConaughey|2-11|Matthew McConaughey
Aristotle|Paul Revere|4-7|Paul Revere
Charles de Gaulle|George Washington|4-7|George Washington
Liu Hui|Eddie Hall|3-8|Eddie Hall
Matt Parker|Satyendra Nath Bose|3-8|Satyendra Nath Bose
Al Capone|Napoleon Bonaparte|2-9|Napoleon Bonaparte
Adam Sandler|Steve Jobs|3-9|Steve Jobs
Grant Gustin|Lin-Manuel Miranda|4-8|Lin-Manuel Miranda
Jim Henson|Jimmy Fallon|2-10|Jimmy Fallon
Carl Sagan|Ludwig van Beethoven|6-7|Ludwig van Beethoven
Neil deGrasse Tyson|Marcus Licinius Crassus|6-5|Neil deGrasse Tyson
Dr. Seuss|Ferdinand Magellan|10-3|Dr. Seuss
