Kinoko Komori|Kyotoku Jiro|8-2|Kinoko Komori
Katsuki Bakugo|SI!Momo Yaoyorozu|3-8|SI!Momo Yaoyorozu
Centipeder|Re-Destro|0-9|Re-Destro
Eijiro Kirishima|Star and Stripe|0-10|Star and Stripe
SI!Shoto Todoroki|SI!Ochako Uraraka|9-3|SI!Ochako Uraraka

Masaru Bakugo|SI!Izuku Midoriya|11-1|Masaru Bakugo
Best Jeanist|Magne|9-2|Best Jeanist
Wolfram|Kendo Rappa|10-1|Wolfram
The Crawler|Shoto Todoroki|1-8|Shoto Todoroki
IRL!FalseSeraph|Mei Hatsume|9-2|IRL!FalseSeraph

Ryukyu|Hiryu Rin|11-0|Ryukyu
SI!Tsuyu Asui|Beros|4-8|Beros
SI!Kyoka Jiro|SI!Mezo Shoji|6-4|SI!Kyoka Jiro
Jurota Shishida|SI!Tooru Hagakure|12-0|Jurota Shishida
Nagamasa Mora|Endeavor|0-11|Endeavor

Katsuma Shimano|Momo Yaoyorozu|1-9|Momo Yaoyorozu
Ibara Shiozaki|Hood|10-0|Ibara Shiozaki
Onima|Mashirao Ojiro|0-10|Mashirao Ojiro
SI!Mina Ashido|SI!Hitoshi Shinso|1-10|SI!Hitoshi Shinso
SI!Ibara Shiozaki|Midnight|10-0|SI!Ibara Shiozaki

Togaru Kamakiri|Sir Nighteye|0-10|Sir Nighteye
Mt. Lady|Naomasa Tsukauchi|10-0|Mt. Lady
SI!Himiko Toga|Himiko Toga|12-0|SI!Himiko Toga
Nomu (U.S.J.)|All Might|0-10|All Might
Mina Ashido|Bruce|0-10|Bruce

Nine|SI!Geten|0-11|SI!Geten
Natsuo Todoroki|SI!Manga Fukidashi|1-11|SI!Manga Fukidashi
Sen Kaibara|Rody Soul|10-1|Sen Kaibara
SI!Tamaki Amajiki|Fat Gum|10-1|SI!Tamaki Amajiki
SI!Neito Monoma|Lunch Rush|11-0|SI!Neito Monoma

SI!Katsuki Bakugo|Tomura Shigaraki|10-0|SI!Katsuki Bakugo
Mika Jiro|Samuel Abraham|10-0|Mika Jiro
Shihai Kuroiro|Gigantomachia|10-0|Shihai Kuroiro
David Shield|Soramitsu Tabe|10-0|David Shield
Manga Fukidashi|Ochako Uraraka|10-0|Manga Fukidashi

Rei Todoroki|Dabi|2-6|Dabi
Gentle Criminal|Kyoka Jiro|7-1|Gentle Criminal
Kamui Woods|Izuku Midoriya|0-8|Izuku Midoriya
Ectoplasm|Camie Utsushimi|6-2|Ectoplasm
Gunhead|Crust|0-8|Crust

Gang Orca|Mirio Togata|0-10|Mirio Togata
SI!Sen Kaibara|Burnin'|10-0|SI!Sen Kaibara
Gran Torino|Skeptic|10-0|Gran Torino
Tetsutetsu Tetsutetsu|Trumpet|10-0|Tetsutetsu Tetsutetsu
Pop Step|SI!Pony Tsunotori|1-10|SI!Pony Tsunotori

Nana Shimura|SI!Shota Aizawa|9-2|Nana Shimura
Tamaki Amajiki|All for One|0-9|All for One
Leviathan|Knuckleduster|8-1|Leviathan
Neito Monoma|2-6|Fuyumi Todoroki|Fuyumi Todoroki
Mirko|Vlad King|9-0|Mirko

Nedzu|Nirengeki Shoda|8-1|Nedzu
SI!Tenya Iida|Itsuka Kendo|1-8|Itsuka Kendo
Nejire Hado|En|2-7|En
Tiger|Edgeshot|0-9|Edgeshot
Eri|Yoichi Shigaraki|6-2|Eri
